street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,missing
3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Residential,2008-05-21,59222,38.631913,-121.434879,False
51 OMAHA CT,SACRAMENTO,95823,CA,3,1,1167,Residential,2008-05-21,68212,38.478902,-121.431028,False
2796 BRANCH ST,SACRAMENTO,95815,CA,2,1,796,Residential,2008-05-21,68880,38.618305,-121.443839,False
2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,852,Residential,2008-05-21,69307,38.616835,-121.439146,False
6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,797,Residential,2008-05-21,81900,38.51947,-121.435768,False
5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,1122,Condo,2008-05-21,89921,38.662595,-121.327813,False
6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,1104,Residential,2008-05-21,90895,38.681659,-121.351705,False
2561 19TH AVE,SACRAMENTO,95820,CA,3,1,1177,Residential,2008-05-21,91002,38.535092,-121.481367,False
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2,941,Condo,2008-05-21,94905,38.621188,-121.270555,False
7325 10TH ST,RIO LINDA,95673,CA,3,2,1146,Residential,2008-05-21,98937,38.700909,-121.442979,False
645 MORRISON AVE,SACRAMENTO,95838,CA,3,2,909,Residential,2008-05-21,100309,38.637663,-121.45152,False
4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,1289,Residential,2008-05-21,106250,38.470746,-121.458918,False
2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,871,Residential,2008-05-21,106852,38.618698,-121.435833,False
2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,1020,Residential,2008-05-21,107502,38.482215,-121.492603,False
4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,1022,Residential,2008-05-21,108750,38.672914,-121.35934,False
7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,1134,Condo,2008-05-21,110700,38.700051,-121.351278,False
6715 6TH ST,RIO LINDA,95673,CA,2,1,844,Residential,2008-05-21,113263,38.689591,-121.452239,False
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,2008-05-21,116250,38.679776,-121.314089,False
250 PERALTA AVE,SACRAMENTO,95833,CA,2,1,588,Residential,2008-05-21,120000,38.612099,-121.469095,False
113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,1356,Residential,2008-05-21,121630,38.689999,-121.46322,False
6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,1118,Residential,2008-05-21,122000,38.707851,-121.320707,False
4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,1329,Residential,2008-05-21,122682,38.468173,-121.444071,False
7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,1240,Residential,2008-05-21,123000,38.702792,-121.38221,False
9 PASTURE CT,SACRAMENTO,95834,CA,3,2,1601,Residential,2008-05-21,124100,38.628631,-121.488097,False
3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2,901,Residential,2008-05-21,125000,38.701499,-121.37622,False
3828 BLACKFOOT WAY,ANTELOPE,95843,CA,3,2,1088,Residential,2008-05-21,126640,38.70974,-121.37377,False
4108 NORTON WAY,SACRAMENTO,95820,CA,3,1,963,Residential,2008-05-21,127281,38.537526,-121.478315,False
1469 JANRICK AVE,SACRAMENTO,95832,CA,3,2,1119,Residential,2008-05-21,129000,38.476472,-121.501711,False
9861 CULP WAY,SACRAMENTO,95827,CA,4,2,1380,Residential,2008-05-21,131200,38.558423,-121.327948,False
7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2,1248,Residential,2008-05-21,132000,38.472122,-121.404199,False
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,2,2,1039,Condo,2008-05-21,133000,38.423251,-121.444489,False
6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,2008-05-21,134555,38.691161,-121.37192,False
3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,1380,Residential,2008-05-21,136500,38.566663,-121.332644,False
7944 DOMINION WAY,ELVERTA,95626,CA,3,2,1116,Residential,2008-05-21,138750,38.713182,-121.411227,False
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2,1039,Condo,2008-05-21,141000,38.423251,-121.444489,False
3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,1418,Residential,2008-05-21,146250,38.48742,-121.462459,False
5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,1082,Residential,2008-05-21,147308,38.658246,-121.375469,False
